Query Text,Cardinality
"SELECT MIN(chn.name) AS uncredited_voiced_character, MIN(t.title) AS russian_movie FROM char_name AS chn, cast_info AS ci, company_name AS cn, company_type AS ct, movie_companies AS mc, role_type AS rt, title AS t WHERE t.id = mc.movie_id AND t.id = ci.movie_id AND ci.movie_id = mc.movie_id AND chn.id = ci.person_role_id AND rt.id = ci.role_id AND cn.id = mc.company_id AND ct.id = mc.company_type_id AND cn.country_code not in ('bn','mq','fo','ae','bz','sz','be','xyu','br','uy') AND (cn.name like '%Blumhouse Productions%' OR cn.name like '%Lionsgate%' OR cn.name like '%Legendary%') AND chn.name not like '%Tony Stark%' AND chn.name not like '%Sherlock Holmes%' AND chn.name not like '%Gamora%' AND chn.name not like '%John Wick%' AND ct.kind not in ('miscellaneous companies','special effects companies') AND t.production_year > 2002 AND (mc.note like '%Mexico%' OR mc.note like '%India%' OR mc.note like '%Australia%' OR mc.note like '%Italy%')",448
"SELECT MIN(chn.name) AS uncredited_voiced_character, MIN(t.title) AS russian_movie FROM char_name AS chn, cast_info AS ci, company_name AS cn, company_type AS ct, movie_companies AS mc, role_type AS rt, title AS t WHERE t.id = mc.movie_id AND t.id = ci.movie_id AND ci.movie_id = mc.movie_id AND chn.id = ci.person_role_id AND rt.id = ci.role_id AND cn.id = mc.company_id AND ct.id = mc.company_type_id AND cn.name not like '%Studio Ghibli%' AND cn.name not like '%20th Century Fox%' AND ct.kind not in ('distributors','special effects companies') AND mc.note not like '%Greece%' AND mc.note not like '%USA%' AND mc.note not like '%Germany%'",2529058
"SELECT MIN(chn.name) AS uncredited_voiced_character, MIN(t.title) AS russian_movie FROM char_name AS chn, cast_info AS ci, company_name AS cn, company_type AS ct, movie_companies AS mc, role_type AS rt, title AS t WHERE t.id = mc.movie_id AND t.id = ci.movie_id AND ci.movie_id = mc.movie_id AND chn.id = ci.person_role_id AND rt.id = ci.role_id AND cn.id = mc.company_id AND ct.id = mc.company_type_id AND ct.kind in ('miscellaneous companies','distributors','special effects companies')",22223963
"SELECT MIN(chn.name) AS uncredited_voiced_character, MIN(t.title) AS russian_movie FROM char_name AS chn, cast_info AS ci, company_name AS cn, company_type AS ct, movie_companies AS mc, role_type AS rt, title AS t WHERE t.id = mc.movie_id AND t.id = ci.movie_id AND ci.movie_id = mc.movie_id AND chn.id = ci.person_role_id AND rt.id = ci.role_id AND cn.id = mc.company_id AND ct.id = mc.company_type_id AND ct.kind not in ('miscellaneous companies','special effects companies','distributors')",14383821
"SELECT MIN(chn.name) AS uncredited_voiced_character, MIN(t.title) AS russian_movie FROM char_name AS chn, cast_info AS ci, company_name AS cn, company_type AS ct, movie_companies AS mc, role_type AS rt, title AS t WHERE t.id = mc.movie_id AND t.id = ci.movie_id AND ci.movie_id = mc.movie_id AND chn.id = ci.person_role_id AND rt.id = ci.role_id AND cn.id = mc.company_id AND ct.id = mc.company_type_id AND (mc.note like '%Greece%' OR mc.note like '%UK%' OR mc.note like '%Canada%')",1995571
"SELECT MIN(chn.name) AS uncredited_voiced_character, MIN(t.title) AS russian_movie FROM char_name AS chn, cast_info AS ci, company_name AS cn, company_type AS ct, movie_companies AS mc, role_type AS rt, title AS t WHERE t.id = mc.movie_id AND t.id = ci.movie_id AND ci.movie_id = mc.movie_id AND chn.id = ci.person_role_id AND rt.id = ci.role_id AND cn.id = mc.company_id AND ct.id = mc.company_type_id AND (cn.name like '%Warner Bros. Pictures%') AND (t.title like '%spell%' OR t.title like '%story%' OR t.title like '%sword%' OR t.title like '%boat%' OR t.title like '%quest%') AND (mc.note like '%Russia%' OR mc.note like '%Sweden%' OR mc.note like '%France%' OR mc.note like '%UK%' OR mc.note like '%Mexico%' OR mc.note like '%India%')",0
"SELECT MIN(chn.name) AS uncredited_voiced_character, MIN(t.title) AS russian_movie FROM char_name AS chn, cast_info AS ci, company_name AS cn, company_type AS ct, movie_companies AS mc, role_type AS rt, title AS t WHERE t.id = mc.movie_id AND t.id = ci.movie_id AND ci.movie_id = mc.movie_id AND chn.id = ci.person_role_id AND rt.id = ci.role_id AND cn.id = mc.company_id AND ct.id = mc.company_type_id AND ct.kind not in ('production companies','special effects companies','miscellaneous companies') AND (cn.name like '%Legendary%')",46
"SELECT MIN(chn.name) AS uncredited_voiced_character, MIN(t.title) AS russian_movie FROM char_name AS chn, cast_info AS ci, company_name AS cn, company_type AS ct, movie_companies AS mc, role_type AS rt, title AS t WHERE t.id = mc.movie_id AND t.id = ci.movie_id AND ci.movie_id = mc.movie_id AND chn.id = ci.person_role_id AND rt.id = ci.role_id AND cn.id = mc.company_id AND ct.id = mc.company_type_id AND (chn.name like '%Thor%' OR chn.name like '%Tony Montana%' OR chn.name like '%John Wick%') AND (mc.note like '%Sweden%' OR mc.note like '%Canada%')",460
"SELECT MIN(chn.name) AS uncredited_voiced_character, MIN(t.title) AS russian_movie FROM char_name AS chn, cast_info AS ci, company_name AS cn, company_type AS ct, movie_companies AS mc, role_type AS rt, title AS t WHERE t.id = mc.movie_id AND t.id = ci.movie_id AND ci.movie_id = mc.movie_id AND chn.id = ci.person_role_id AND rt.id = ci.role_id AND cn.id = mc.company_id AND ct.id = mc.company_type_id AND (mc.note like '%Mexico%' OR mc.note like '%China%' OR mc.note like '%Germany%')",1545139
"SELECT MIN(chn.name) AS uncredited_voiced_character, MIN(t.title) AS russian_movie FROM char_name AS chn, cast_info AS ci, company_name AS cn, company_type AS ct, movie_companies AS mc, role_type AS rt, title AS t WHERE t.id = mc.movie_id AND t.id = ci.movie_id AND ci.movie_id = mc.movie_id AND chn.id = ci.person_role_id AND rt.id = ci.role_id AND cn.id = mc.company_id AND ct.id = mc.company_type_id AND t.title not like '%quest%' AND t.production_year > 2003",15315715
"SELECT MIN(chn.name) AS uncredited_voiced_character, MIN(t.title) AS russian_movie FROM char_name AS chn, cast_info AS ci, company_name AS cn, company_type AS ct, movie_companies AS mc, role_type AS rt, title AS t WHERE t.id = mc.movie_id AND t.id = ci.movie_id AND ci.movie_id = mc.movie_id AND chn.id = ci.person_role_id AND rt.id = ci.role_id AND cn.id = mc.company_id AND ct.id = mc.company_type_id AND chn.name not like '%Hannibal Lecter%' AND cn.name not like '%Sony Pictures Entertainment%' AND cn.name not like '%Miramax%' AND ct.kind in ('production companies','special effects companies','miscellaneous companies') AND t.production_year > 1999 AND t.production_year < 2008 AND t.title not like '%darkness%' AND t.title not like '%ring%' AND (mc.note like '%Russia%')",77
"SELECT MIN(chn.name) AS uncredited_voiced_character, MIN(t.title) AS russian_movie FROM char_name AS chn, cast_info AS ci, company_name AS cn, company_type AS ct, movie_companies AS mc, role_type AS rt, title AS t WHERE t.id = mc.movie_id AND t.id = ci.movie_id AND ci.movie_id = mc.movie_id AND chn.id = ci.person_role_id AND rt.id = ci.role_id AND cn.id = mc.company_id AND ct.id = mc.company_type_id AND ct.kind in ('production companies','miscellaneous companies','special effects companies') AND (cn.name like '%Working Title Films%') AND cn.country_code not in ('ma','gi','ao','ve','td','se','lt')",7345
"SELECT MIN(chn.name) AS uncredited_voiced_character, MIN(t.title) AS russian_movie FROM char_name AS chn, cast_info AS ci, company_name AS cn, company_type AS ct, movie_companies AS mc, role_type AS rt, title AS t WHERE t.id = mc.movie_id AND t.id = ci.movie_id AND ci.movie_id = mc.movie_id AND chn.id = ci.person_role_id AND rt.id = ci.role_id AND cn.id = mc.company_id AND ct.id = mc.company_type_id AND t.production_year > 1990 AND t.production_year < 2000 AND (t.title like '%drum%')",276
